vehicle_id,station_id,vehicle_type,status,rides_since_last_treated,last_treated_date
V000079,5,scooter,available,9,2025-01-18
V000080,5,bicycle,available,0,2025-01-11
V000081,5,scooter,available,5,2025-03-01
V000082,5,electric_bicycle,available,9,2025-03-12
V000083,5,scooter,available,10,2025-01-13
V000084,5,bicycle,available,2,2025-01-01
V000085,5,bicycle,available,3,2025-01-06
V000086,5,scooter,available,0,2025-01-15
V000087,5,electric_bicycle,available,3,2025-02-27
V000088,5,bicycle,available,0,2025-02-26
V000089,5,electric_bicycle,available,3,2025-03-14
V000090,5,scooter,available,3,2025-01-09
V000091,5,bicycle,degraded,9,2025-02-02
V000092,5,bicycle,available,6,2025-01-23
V000093,5,bicycle,available,9,2025-03-24
V000094,5,bicycle,available,7,2025-01-18
V000095,5,bicycle,degraded,8,2025-03-01
V000096,5,bicycle,degraded,7,2025-02-11
V000097,6,scooter,degraded,7,2025-03-27
V000098,6,scooter,available,6,2025-03-03
V000099,6,scooter,available,8,2025-03-04
V000100,6,scooter,available,0,2025-02-07
V000101,6,bicycle,available,6,2025-01-04
V000102,6,scooter,available,4,2025-02-22
V000103,6,scooter,available,4,2025-02-18
V000104,6,electric_bicycle,available,7,2025-02-11
V000105,6,electric_bicycle,degraded,8,2025-01-03
V000106,6,bicycle,degraded,7,2025-01-15
V000107,6,electric_bicycle,available,10,2025-02-23
V000108,7,electric_bicycle,available,6,2025-03-18
V000109,7,scooter,available,10,2025-02-09
V000110,7,scooter,available,2,2025-01-19
V000111,7,bicycle,degraded,1,2025-03-25
V000112,7,electric_bicycle,available,5,2025-01-14
V000113,7,electric_bicycle,available,7,2025-01-03
V000114,7,bicycle,available,6,2025-01-11
V000115,7,bicycle,degraded,10,2025-02-16
V000116,7,bicycle,available,2,2025-01-01
V000117,7,bicycle,available,3,2025-01-22
V000118,7,bicycle,available,7,2025-01-12
V000119,7,electric_bicycle,available,3,2025-01-29
V000120,7,bicycle,degraded,8,2025-01-19
V000121,7,electric_bicycle,available,6,2025-03-20
V000122,7,bicycle,available,3,2025-03-15
V000123,7,scooter,degraded,10,2025-01-27
V000124,7,electric_bicycle,available,8,2025-02-17
V000125,7,electric_bicycle,available,2,2025-01-26
V000126,7,scooter,available,7,2025-02-07
V000127,7,electric_bicycle,available,4,2025-01-18
V000128,7,bicycle,available,8,2025-01-31
V000129,7,electric_bicycle,available,4,2025-01-03
V000130,7,electric_bicycle,available,10,2025-02-16
V000131,7,bicycle,available,3,2025-02-10
V000132,7,bicycle,available,3,2025-01-24
V000133,7,scooter,degraded,7,2025-03-10
V000134,7,electric_bicycle,degraded,7,2025-02-11
V000135,7,electric_bicycle,available,0,2025-02-24
V000136,8,scooter,available,6,2025-02-10
V000137,8,electric_bicycle,available,4,2025-01-28
V000138,8,scooter,available,2,2025-01-11
V000139,8,electric_bicycle,available,8,2025-01-21
V000140,8,bicycle,available,5,2025-01-26
V000141,8,electric_bicycle,available,6,2025-03-26
V000142,8,electric_bicycle,available,6,2025-03-18
V000143,8,scooter,degraded,3,2025-02-13
V000144,8,bicycle,available,0,2025-02-06
V000145,8,electric_bicycle,available,9,2025-02-19
V000146,8,scooter,available,9,2025-01-03
V000147,8,electric_bicycle,available,7,2025-02-20
V000148,8,bicycle,degraded,10,2025-03-09
V000149,8,electric_bicycle,available,10,2025-03-20
V000150,8,bicycle,available,1,2025-02-06
V000151,8,scooter,available,8,2025-03-16
V000152,8,electric_bicycle,available,7,2025-01-13
V000153,8,scooter,available,6,2025-01-03
V000154,8,electric_bicycle,degraded,6,2025-03-21
V000155,8,scooter,degraded,7,2025-03-23
V000156,8,electric_bicycle,available,0,2025-03-16
V000157,8,scooter,available,5,2025-03-05
V000158,9,bicycle,available,6,2025-01-03
V000159,9,bicycle,available,0,2025-01-17
V000160,9,bicycle,available,9,2025-03-09
V000161,9,bicycle,available,7,2025-01-31
V000162,9,bicycle,degraded,7,2025-01-25
V000163,9,scooter,available,10,2025-01-08
V000164,9,bicycle,available,2,2025-03-28
V000165,9,electric_bicycle,degraded,10,2025-03-31
V000166,9,electric_bicycle,available,3,2025-02-09
V000167,9,bicycle,available,0,2025-03-26
V000168,9,electric_bicycle,available,2,2025-02-15
V000169,9,electric_bicycle,available,2,2025-02-18
V000170,9,electric_bicycle,available,7,2025-03-30
V000171,9,bicycle,available,8,2025-01-19
V000172,9,scooter,available,10,2025-02-17
V000173,9,bicycle,degraded,0,2025-03-30
V000174,9,scooter,available,6,2025-03-20
V000175,9,scooter,available,6,2025-01-13
V000176,9,scooter,degraded,8,2025-02-28
V000177,9,electric_bicycle,available,7,2025-03-15
V000178,9,electric_bicycle,available,4,2025-03-21
V000179,9,electric_bicycle,available,2,2025-01-04
V000180,9,bicycle,available,10,2025-02-22
V000181,9,electric_bicycle,available,4,2025-01-05
V000182,9,electric_bicycle,available,4,2025-03-08
V000183,9,bicycle,available,2,2025-03-15
V000184,9,bicycle,available,1,2025-01-21
V000185,9,electric_bicycle,available,9,2025-03-02
V000186,10,electric_bicycle,available,8,2025-02-09
V000187,10,electric_bicycle,available,0,2025-03-14
V000188,10,electric_bicycle,degraded,5,2025-03-04
V000189,10,scooter,degraded,0,2025-03-08
V000190,10,bicycle,available,0,2025-01-15
V000191,10,electric_bicycle,available,2,2025-01-27
V000192,10,bicycle,degraded,2,2025-03-08
V000193,10,bicycle,available,7,2025-03-31
V000194,10,electric_bicycle,available,6,2025-02-13
V000195,10,bicycle,available,0,2025-01-24
V000196,10,scooter,degraded,9,2025-03-26
V000197,10,scooter,available,4,2025-03-22
V000198,10,bicycle,available,5,2025-01-09
V000199,10,electric_bicycle,available,7,2025-01-28
V000200,10,bicycle,available,8,2025-02-17
V000201,10,scooter,available,4,2025-01-24
V000202,10,electric_bicycle,available,2,2025-01-06
V000203,10,electric_bicycle,available,6,2025-03-13
V000204,10,electric_bicycle,available,3,2025-01-22
V000205,11,electric_bicycle,available,5,2025-03-29
V000206,11,scooter,available,5,2025-01-08
V000207,11,scooter,available,4,2025-02-04
V000208,11,scooter,available,6,2025-03-22
V000209,11,bicycle,available,4,2025-02-10
V000210,11,scooter,available,7,2025-03-06
V000211,11,scooter,available,9,2025-02-18
V000212,11,bicycle,available,6,2025-02-13
V000213,11,bicycle,available,2,2025-01-29
V000214,11,electric_bicycle,available,10,2025-02-15
V000215,11,scooter,available,3,2025-02-19
V000216,11,scooter,degraded,10,2025-03-31
V000217,11,electric_bicycle,available,10,2025-02-25
V000218,11,electric_bicycle,available,3,2025-01-12
V000219,11,scooter,available,8,2025-03-01
V000220,11,electric_bicycle,available,8,2025-01-29
V000221,12,bicycle,degraded,5,2025-01-23
V000222,12,bicycle,available,3,2025-01-12
V000223,12,bicycle,available,4,2025-03-04
V000224,12,bicycle,available,4,2025-02-18
V000225,12,scooter,available,1,2025-02-17
V000226,12,scooter,available,6,2025-03-20
V000227,12,bicycle,degraded,3,2025-03-07
V000228,12,electric_bicycle,degraded,7,2025-02-20
V000229,12,electric_bicycle,available,9,2025-02-15
V000230,12,bicycle,available,2,2025-01-24
V000231,12,bicycle,available,1,2025-03-16
V000232,12,bicycle,available,9,2025-01-05
V000233,12,scooter,available,1,2025-03-07
V000234,12,bicycle,available,4,2025-02-02
V000235,13,electric_bicycle,available,6,2025-01-09
V000236,13,electric_bicycle,degraded,8,2025-03-13
V000237,13,scooter,degraded,1,2025-01-04
V000238,13,electric_bicycle,available,4,2025-03-21
V000239,13,scooter,available,9,2025-01-28
V000240,13,electric_bicycle,degraded,9,2025-03-04
V000241,13,bicycle,available,6,2025-03-13
V000242,13,scooter,available,2,2025-02-15
V000243,13,electric_bicycle,available,2,2025-03-02
V000244,13,scooter,available,5,2025-03-17
V000245,13,scooter,available,6,2025-01-18
V000246,13,bicycle,available,9,2025-01-29
V000247,13,electric_bicycle,available,10,2025-02-11
V000248,13,scooter,available,2,2025-01-24
V000249,14,electric_bicycle,available,8,2025-03-19
V000250,14,bicycle,available,2,2025-03-17
V000251,14,electric_bicycle,available,10,2025-02-22
V000252,14,bicycle,available,6,2025-02-21
V000253,14,bicycle,degraded,7,2025-01-22
V000254,14,electric_bicycle,degraded,10,2025-03-18
V000255,14,scooter,available,5,2025-02-25
V000256,14,electric_bicycle,degraded,9,2025-03-12
V000257,14,scooter,degraded,8,2025-01-21
V000258,14,bicycle,available,2,2025-01-06
V000259,14,scooter,available,9,2025-01-12
V000260,14,bicycle,available,4,2025-03-02
V000261,14,electric_bicycle,degraded,9,2025-03-07
V000262,14,electric_bicycle,available,10,2025-01-08
V000263,14,scooter,available,8,2025-02-16
V000264,14,electric_bicycle,available,3,2025-02-15
V000265,14,scooter,available,3,2025-02-26
V000266,14,electric_bicycle,available,5,2025-01-13
V000267,14,scooter,available,4,2025-03-02
V000268,14,bicycle,available,2,2025-01-17
V000269,14,bicycle,available,2,2025-02-28
V000270,14,bicycle,degraded,8,2025-03-20
V000271,14,bicycle,available,3,2025-01-18
V000272,14,scooter,degraded,7,2025-03-26
V000273,14,electric_bicycle,degraded,9,2025-03-07
V000274,14,scooter,available,6,2025-02-13
V000275,14,bicycle,available,0,2025-01-13
V000276,14,bicycle,available,4,2025-04-01
V000277,14,bicycle,available,7,2025-02-13
V000278,15,scooter,available,10,2025-03-12
V000279,15,scooter,available,10,2025-03-22
V000280,15,electric_bicycle,available,4,2025-01-25
V000281,15,electric_bicycle,available,4,2025-02-17
V000282,15,bicycle,available,4,2025-01-28
V000283,15,bicycle,available,6,2025-02-20
V000284,15,electric_bicycle,available,5,2025-01-16
V000285,15,bicycle,available,4,2025-03-01
V000286,15,electric_bicycle,available,0,2025-01-23
V000287,15,scooter,available,8,2025-03-30
V000288,15,electric_bicycle,available,10,2025-03-24
V000289,15,electric_bicycle,available,7,2025-01-19
V000290,15,electric_bicycle,available,10,2025-03-17
V000291,15,scooter,degraded,9,2025-01-13
V000292,15,electric_bicycle,available,4,2025-01-31
V000293,15,scooter,degraded,8,2025-02-03
V000294,15,scooter,available,1,2025-03-01
V000295,15,scooter,available,2,2025-03-08
V000296,15,electric_bicycle,available,8,2025-03-28
V000297,15,electric_bicycle,available,5,2025-01-17
V000298,15,bicycle,available,1,2025-02-24
V000299,15,electric_bicycle,available,1,2025-01-06
V000300,15,electric_bicycle,available,10,2025-02-15
V000301,15,bicycle,available,2,2025-02-19
V000302,15,scooter,available,4,2025-01-19
V000303,15,electric_bicycle,available,9,2025-01-25
V000304,15,scooter,degraded,7,2025-03-30
V000305,15,bicycle,available,7,2025-01-23
V000306,15,electric_bicycle,available,6,2025-01-04
V000307,15,scooter,available,10,2025-01-24
V000308,15,bicycle,available,0,2025-01-20
V000309,15,electric_bicycle,degraded,2,2025-03-30
V000310,15,scooter,available,6,2025-01-25
V000311,15,bicycle,available,3,2025-02-26
V000312,15,electric_bicycle,available,4,2025-02-04
V000313,15,scooter,degraded,5,2025-03-22
V000314,15,scooter,degraded,1,2025-01-09
V000315,15,scooter,available,2,2025-03-26
V000316,16,scooter,available,10,2025-03-16
V000317,16,bicycle,available,1,2025-03-20
V000318,16,bicycle,available,4,2025-03-29
V000319,16,bicycle,available,6,2025-01-05
V000320,16,bicycle,available,7,2025-03-14
V000321,16,electric_bicycle,degraded,9,2025-02-15
V000322,16,electric_bicycle,degraded,5,2025-02-15
V000323,16,scooter,available,7,2025-03-04
V000324,16,scooter,degraded,2,2025-02-17
V000325,16,bicycle,degraded,10,2025-02-27
V000326,16,bicycle,available,10,2025-01-25
V000327,16,electric_bicycle,available,3,2025-03-14
V000328,16,scooter,available,9,2025-01-27
V000329,16,scooter,degraded,8,2025-01-07
V000330,17,scooter,available,5,2025-01-12
V000331,17,electric_bicycle,available,3,2025-02-11
V000332,17,scooter,available,1,2025-02-09
V000333,17,scooter,available,0,2025-02-21
V000334,17,electric_bicycle,available,1,2025-01-11
V000335,17,scooter,available,2,2025-01-17
V000336,17,scooter,available,3,2025-02-22
V000337,17,scooter,available,3,2025-01-27
V000338,17,bicycle,degraded,1,2025-02-04
V000339,17,electric_bicycle,degraded,10,2025-01-02
V000340,17,electric_bicycle,available,0,2025-01-12
V000341,17,electric_bicycle,available,9,2025-02-08
V000342,17,scooter,available,1,2025-03-25
V000343,17,scooter,available,4,2025-01-03
V000344,17,bicycle,degraded,9,2025-02-03
V000345,17,electric_bicycle,available,4,2025-02-11
V000346,17,bicycle,available,1,2025-01-30
V000347,17,electric_bicycle,degraded,9,2025-02-20
V000348,17,electric_bicycle,available,9,2025-03-22
V000349,18,bicycle,available,5,2025-01-31
V000350,18,scooter,available,1,2025-01-04
V000351,18,scooter,available,3,2025-02-10
V000352,18,electric_bicycle,available,5,2025-01-03
V000353,18,bicycle,available,2,2025-03-02
V000354,18,scooter,available,6,2025-01-27
V000355,19,scooter,available,3,2025-03-12
V000356,19,electric_bicycle,available,4,2025-01-12
V000357,19,bicycle,available,4,2025-03-09
V000358,19,scooter,available,2,2025-03-29
V000359,19,scooter,available,7,2025-04-01
V000360,19,bicycle,degraded,2,2025-02-27
V000361,19,electric_bicycle,available,5,2025-03-17
V000362,19,electric_bicycle,available,2,2025-02-25
V000363,19,scooter,available,10,2025-03-09
V000364,19,electric_bicycle,available,3,2025-03-17
V000365,19,electric_bicycle,available,1,2025-02-20
V000366,19,electric_bicycle,available,10,2025-01-26
V000367,19,electric_bicycle,available,5,2025-03-24
V000368,19,electric_bicycle,available,5,2025-01-16
V000369,19,bicycle,available,6,2025-03-06
V000370,19,bicycle,degraded,10,2025-03-07
V000371,19,scooter,available,8,2025-03-02
V000372,19,scooter,available,9,2025-02-19
V000373,19,bicycle,available,2,2025-01-09
V000374,19,electric_bicycle,available,6,2025-02-13
V000375,19,bicycle,available,6,2025-02-07
V000376,19,electric_bicycle,available,2,2025-02-17
V000377,19,scooter,degraded,7,2025-03-09
V000378,19,bicycle,available,1,2025-03-29
V000379,19,electric_bicycle,available,10,2025-03-06
V000380,20,electric_bicycle,available,8,2025-03-27
V000381,20,scooter,available,10,2025-03-03
V000382,20,electric_bicycle,available,6,2025-01-20
V000383,20,electric_bicycle,available,5,2025-02-27
V000384,20,electric_bicycle,degraded,7,2025-03-29
V000385,20,electric_bicycle,available,2,2025-01-15
V000386,20,bicycle,available,2,2025-01-02
V000387,20,scooter,available,7,2025-01-27
V000388,20,bicycle,available,4,2025-01-29
V000389,21,scooter,available,4,2025-03-14
V000390,21,electric_bicycle,available,1,2025-01-16
V000391,21,scooter,available,4,2025-02-02
V000392,21,scooter,available,5,2025-01-22
V000393,21,electric_bicycle,available,4,2025-01-21
V000394,21,scooter,available,10,2025-02-10
V000395,21,bicycle,available,7,2025-01-21
V000396,21,bicycle,available,3,2025-01-21
V000397,21,electric_bicycle,available,9,2025-03-15
V000398,21,electric_bicycle,degraded,9,2025-01-14
V000399,21,scooter,available,4,2025-01-27
V000400,21,electric_bicycle,available,5,2025-01-12
V000401,21,scooter,available,3,2025-01-30
V000402,21,scooter,degraded,3,2025-02-06
V000403,21,bicycle,available,6,2025-02-14
V000404,21,electric_bicycle,degraded,0,2025-02-03
V000405,21,electric_bicycle,available,7,2025-01-07
V000406,21,electric_bicycle,available,9,2025-01-10
V000407,21,scooter,degraded,7,2025-03-28
V000408,21,scooter,available,1,2025-02-04
V000409,21,scooter,available,10,2025-02-10
V000410,21,electric_bicycle,available,6,2025-03-15
V000411,21,bicycle,available,7,2025-02-09
V000412,22,bicycle,available,10,2025-03-07
V000413,22,electric_bicycle,degraded,10,2025-02-25
V000414,22,electric_bicycle,available,1,2025-04-01
V000415,22,bicycle,available,1,2025-02-10
V000416,22,electric_bicycle,available,4,2025-03-06
V000417,22,scooter,available,9,2025-02-22
V000418,22,electric_bicycle,available,9,2025-02-11
V000419,22,electric_bicycle,available,5,2025-02-13
V000420,22,electric_bicycle,available,9,2025-03-28
V000421,22,scooter,degraded,10,2025-03-10
V000422,23,bicycle,degraded,7,2025-01-15
V000423,23,electric_bicycle,available,10,2025-03-18
V000424,23,electric_bicycle,available,0,2025-01-17
V000425,23,electric_bicycle,degraded,10,2025-03-25
V000426,23,scooter,available,7,2025-03-01
V000427,23,electric_bicycle,degraded,7,2025-02-20
V000428,23,scooter,available,3,2025-03-20
V000429,23,scooter,available,3,2025-03-13
V000430,23,electric_bicycle,available,1,2025-03-09
V000431,24,scooter,available,2,2025-03-21
V000432,24,electric_bicycle,degraded,9,2025-03-22
V000433,24,scooter,available,10,2025-01-01
V000434,24,bicycle,available,5,2025-03-09
V000435,24,bicycle,available,4,2025-03-10
V000436,24,scooter,available,8,2025-03-13
V000437,24,scooter,available,4,2025-03-22
V000438,24,electric_bicycle,available,7,2025-03-23
V000439,24,bicycle,available,6,2025-02-28
V000440,24,scooter,available,2,2025-01-20
V000441,24,scooter,available,1,2025-01-06
V000442,24,scooter,degraded,5,2025-01-26
V000443,24,bicycle,available,0,2025-02-02
V000444,24,scooter,degraded,7,2025-03-05
V000445,24,electric_bicycle,available,8,2025-03-25
V000446,24,bicycle,available,7,2025-03-01
V000447,24,bicycle,available,6,2025-01-08
V000448,24,scooter,degraded,9,2025-03-11
V000449,24,scooter,available,7,2025-03-14
V000450,24,electric_bicycle,available,6,2025-04-01
V000451,24,bicycle,degraded,2,2025-01-11
V000452,24,scooter,available,9,2025-03-02
V000453,24,scooter,available,6,2025-02-19
V000454,24,bicycle,degraded,9,2025-02-28
V000455,24,scooter,available,9,2025-03-10
V000456,24,electric_bicycle,available,8,2025-02-14
V000457,24,scooter,available,3,2025-02-24
V000458,24,electric_bicycle,available,0,2025-01-02
V000459,24,bicycle,degraded,3,2025-01-28
V000460,24,electric_bicycle,available,10,2025-03-28
V000461,24,scooter,degraded,8,2025-02-26
V000462,24,electric_bicycle,available,4,2025-02-06
V000463,24,scooter,available,6,2025-01-11
V000464,25,electric_bicycle,available,0,2025-01-09
V000465,25,electric_bicycle,degraded,7,2025-03-10
V000466,25,electric_bicycle,degraded,10,2025-02-17
V000467,25,scooter,available,9,2025-04-01
V000468,25,bicycle,degraded,7,2025-02-24
V000469,25,scooter,available,4,2025-01-29
V000470,25,scooter,available,4,2025-03-30
V000471,25,bicycle,available,0,2025-01-08
V000472,25,electric_bicycle,available,6,2025-02-27
V000473,25,electric_bicycle,available,10,2025-02-03
V000474,25,electric_bicycle,available,10,2025-03-24
V000475,25,electric_bicycle,available,4,2025-03-18
V000476,25,bicycle,available,9,2025-03-12
V000477,25,electric_bicycle,degraded,10,2025-03-21
V000478,25,bicycle,degraded,6,2025-02-02
V000479,26,electric_bicycle,degraded,7,2025-01-23
V000480,26,scooter,available,8,2025-01-24
V000481,26,bicycle,available,2,2025-03-28
V000482,26,electric_bicycle,available,2,2025-02-17
V000483,26,bicycle,available,5,2025-01-21
V000484,26,bicycle,degraded,9,2025-01-23
V000485,26,bicycle,degraded,9,2025-01-30
V000486,26,bicycle,available,5,2025-03-07
V000487,26,electric_bicycle,available,1,2025-03-28
V000488,26,electric_bicycle,available,7,2025-03-28
V000489,26,scooter,available,9,2025-03-17
V000490,26,scooter,available,9,2025-01-25
V000491,26,scooter,available,2,2025-01-19
V000492,26,scooter,available,0,2025-01-20
V000493,26,scooter,available,9,2025-03-05
V000494,26,bicycle,available,4,2025-01-10
V000495,26,scooter,available,10,2025-01-24
V000496,26,bicycle,available,0,2025-01-01
V000497,26,electric_bicycle,available,1,2025-01-07
V000498,26,electric_bicycle,available,0,2025-02-21
V000499,27,electric_bicycle,available,10,2025-01-29
V000500,27,scooter,available,0,2025-03-17
V000501,27,electric_bicycle,available,6,2025-03-17
V000502,27,bicycle,degraded,9,2025-02-05
V000503,27,bicycle,available,10,2025-01-05
V000504,27,bicycle,available,4,2025-01-27
V000505,27,bicycle,degraded,9,2025-02-05
V000506,27,scooter,available,5,2025-03-02
V000507,27,bicycle,available,5,2025-02-11
V000508,27,bicycle,degraded,8,2025-01-13
V000509,27,electric_bicycle,available,10,2025-03-22
V000510,27,bicycle,available,5,2025-01-14
V000511,27,bicycle,available,6,2025-02-12
V000512,27,bicycle,available,6,2025-04-01
V000513,27,bicycle,available,4,2025-01-10
V000514,27,electric_bicycle,available,6,2025-02-15
V000515,27,scooter,available,2,2025-01-26
V000516,27,electric_bicycle,available,10,2025-03-22
V000517,27,bicycle,available,4,2025-02-23
V000518,27,electric_bicycle,available,6,2025-03-14
V000519,27,electric_bicycle,available,4,2025-02-24
V000520,27,electric_bicycle,available,0,2025-03-27
V000521,27,scooter,degraded,8,2025-02-20
V000522,27,scooter,available,4,2025-03-28
V000523,27,scooter,available,7,2025-02-24
V000524,27,scooter,available,1,2025-03-09
V000525,27,scooter,available,3,2025-01-11
V000526,28,electric_bicycle,available,2,2025-02-04
V000527,28,electric_bicycle,available,1,2025-02-19
V000528,28,scooter,available,5,2025-03-05
V000529,28,electric_bicycle,available,10,2025-01-27
V000530,28,bicycle,available,1,2025-02-22
V000531,28,scooter,available,6,2025-03-03
V000532,28,electric_bicycle,degraded,10,2025-01-13
V000533,28,scooter,available,9,2025-02-02
V000534,28,scooter,available,5,2025-02-05
V000535,28,scooter,available,8,2025-01-21
V000536,28,bicycle,degraded,1,2025-03-09
V000537,28,electric_bicycle,degraded,2,2025-03-03
V000538,28,electric_bicycle,available,4,2025-01-25
V000539,28,bicycle,available,9,2025-01-01
V000540,28,electric_bicycle,available,4,2025-02-05
V000541,28,electric_bicycle,available,3,2025-01-18
V000542,28,electric_bicycle,available,4,2025-03-06
V000543,28,electric_bicycle,available,1,2025-03-07
V000544,28,electric_bicycle,available,8,2025-01-09
V000545,28,electric_bicycle,available,5,2025-02-28
V000546,28,bicycle,available,5,2025-02-03
V000547,28,electric_bicycle,available,8,2025-03-10
V000548,28,bicycle,available,6,2025-01-28
V000549,28,bicycle,available,8,2025-03-16
V000550,28,bicycle,available,8,2025-02-08
V000551,28,bicycle,available,6,2025-03-25
V000552,28,electric_bicycle,degraded,7,2025-04-01
V000553,28,bicycle,available,0,2025-02-20
V000554,28,scooter,degraded,8,2025-01-14
V000555,28,electric_bicycle,available,8,2025-02-09
V000556,28,scooter,available,3,2025-01-09
V000557,28,bicycle,available,3,2025-03-16
V000558,28,electric_bicycle,available,7,2025-01-09
V000559,28,scooter,available,0,2025-01-02
V000560,28,scooter,available,10,2025-02-01
V000561,28,scooter,degraded,7,2025-02-16
V000562,29,electric_bicycle,available,5,2025-02-21
V000563,29,scooter,available,1,2025-01-20
V000564,29,bicycle,degraded,8,2025-03-02
V000565,29,scooter,available,6,2025-02-10
V000566,29,bicycle,available,7,2025-02-02
V000567,29,scooter,available,6,2025-03-07
V000568,29,electric_bicycle,available,2,2025-02-24
V000569,29,electric_bicycle,available,8,2025-03-05
V000570,29,electric_bicycle,available,7,2025-02-24
V000571,29,electric_bicycle,available,1,2025-03-16
V000572,29,scooter,available,1,2025-02-07
V000573,29,electric_bicycle,available,5,2025-01-11
V000574,29,bicycle,available,1,2025-03-09
V000575,29,scooter,degraded,7,2025-03-08
V000576,30,scooter,degraded,2,2025-03-03
V000577,30,scooter,available,4,2025-03-07
V000578,30,scooter,available,6,2025-03-04
V000579,30,electric_bicycle,available,3,2025-02-18
V000580,30,bicycle,available,0,2025-01-11
V000581,30,bicycle,available,4,2025-01-08
V000582,30,electric_bicycle,degraded,10,2025-02-10
V000583,30,electric_bicycle,available,9,2025-03-31
V000584,30,scooter,available,4,2025-02-28
V000585,30,scooter,available,9,2025-02-02
V000586,30,electric_bicycle,available,7,2025-01-20
V000587,30,electric_bicycle,available,6,2025-03-18
V000588,30,bicycle,available,4,2025-03-05
V000589,30,scooter,available,5,2025-03-12
V000590,30,electric_bicycle,available,5,2025-04-01
V000591,30,electric_bicycle,available,1,2025-02-02
V000592,30,bicycle,available,10,2025-01-23
V000593,30,bicycle,available,4,2025-01-29
V000594,30,electric_bicycle,available,5,2025-03-21
V000595,30,scooter,available,5,2025-01-18
V000596,30,scooter,available,9,2025-03-14
V000597,30,electric_bicycle,available,10,2025-02-10
V000598,30,bicycle,degraded,8,2025-02-08
V000599,30,bicycle,available,6,2025-01-14
V000600,30,scooter,available,7,2025-01-02
